Date/Time,Word Count,ja,zh-Hans,zh-Hant
2018.07.19-14.32.52,32,0,32,28
2018.07.19-14.34.08,32,0,32,32
2018.07.19-14.40.40,32,32,32,32
2018.07.19-14.42.18,32,15,32,15
2018.07.19-14.45.56,32,15,32,19
2018.07.19-14.50.22,32,15,32,32
2018.07.19-14.51.17,32,32,32,32
2018.07.19-14.56.46,32,19,32,19
2018.07.19-14.57.45,32,32,32,32
2018.07.19-18.07.36,34,32,34,32
2018.07.19-18.12.42,34,34,34,34
2018.07.20-13.47.07,161,32,161,32
2018.07.20-14.17.22,163,32,163,32
2018.07.20-15.41.24,159,34,159,32
2018.07.21-17.13.38,118,30,118,28
2018.07.21-18.14.05,118,30,118,0
2018.07.21-18.21.19,118,101,118,0
2018.07.21-18.22.33,118,118,118,0
2018.07.21-20.00.12,126,105,126,0
2018.07.21-20.00.39,126,126,126,0
2018.07.21-20.46.32,135,126,135,0
2018.07.21-21.24.35,128,80,128,0
2018.07.21-21.30.18,128,128,128,0
